Category Guess Histogram
========================

Matched
[831 953 717 881 771 902 520 922 935 941 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9.0]
['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']

Missed
[213  22 269 196 316  61 295 106  68  81 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9. ]


Value Guess Histogram (auto)
============================

Matched
[  63  405 1203 1835 2105 1463  735  355  159   50 ----]
[ 2.6  4.4  6.2  8.0  9.8 11.6 13.4 15.3 17.1 18.9 20.7]

Missed
[  16  111  208  317  361  348  181   61   18    6 ---- ---- ---- ----]
[ 2.1  3.5  4.9  6.3  7.7  9.1 10.5 11.8 13.2 14.6 16.0 17.4 18.8 20.2]


Value Guess Histogram
=====================

Matched
[   0   30  367 1259 2045 2288 1365  629  286   97 ----]
[   0    2    4    6    8   10   12   14   16   18   20]

Missed
[   0   48  246  434  533  292   63   10    1    0  ---]
[   0    2    4    6    8   10   12   14   16   18   20]


Missed Items
============

   12 Predicted: "Sandal" 6.4, Actual: "Sneaker" 4.4
 2485 Predicted: "T-shirt/top" 6.3, Actual: "Shirt" 5.6
 2487 Predicted: "Sandal" 4.2, Actual: "Coat" 2.4
 2491 Predicted: "Pullover" 11.5, Actual: "Shirt" 9.9
 2498 Predicted: "Dress" 6.3, Actual: "Shirt" 4.8
 2503 Predicted: "Coat" 6.9, Actual: "Pullover" 6.4
 2506 Predicted: "Shirt" 4.8, Actual: "T-shirt/top" 3.7
 2507 Predicted: "Coat" 8.4, Actual: "Dress" 7.4
 2509 Predicted: "Pullover" 11.7, Actual: "Coat" 9.9
 2521 Predicted: "Sandal" 5.7, Actual: "Bag" 5.3
 2522 Predicted: "Shirt" 9.2, Actual: "T-shirt/top" 8.2
 2527 Predicted: "Sneaker" 11.4, Actual: "Ankle boot" 7.9
 2529 Predicted: "Ankle boot" 11.2, Actual: "Sneaker" 10.3
 2540 Predicted: "Coat" 8.6, Actual: "Shirt" 7.6
 2541 Predicted: "Shirt" 4.6, Actual: "Pullover" 4.5
 2548 Predicted: "Shirt" 7.8, Actual: "Pullover" 6.9
 2551 Predicted: "Dress" 5.1, Actual: "Shirt" 3.4
 2552 Predicted: "Coat" 10.3, Actual: "Pullover" 9.9
 2559 Predicted: "Sneaker" 11.4, Actual: "Ankle boot" 9.2
 2571 Predicted: "Shirt" 7.9, Actual: "T-shirt/top" 6.7
 2573 Predicted: "Dress" 8.4, Actual: "Coat" 7.6
 2580 Predicted: "T-shirt/top" 8.6, Actual: "Shirt" 7.4
 2591 Predicted: "Sandal" 6.8, Actual: "Ankle boot" 6.7
 2592 Predicted: "Shirt" 9.7, Actual: "Pullover" 9.1
 2593 Predicted: "Shirt" 6.0, Actual: "Pullover" 5.4
 2595 Predicted: "Ankle boot" 12.0, Actual: "Sneaker" 10.7
 2599 Predicted: "Bag" 8.1, Actual: "T-shirt/top" 1.3
 2617 Predicted: "Shirt" 9.7, Actual: "Coat" 7.0
 2622 Predicted: "Coat" 8.6, Actual: "Shirt" 8.3
 2624 Predicted: "Coat" 9.5, Actual: "Pullover" 8.1
 2626 Predicted: "Shirt" 8.6, Actual: "Coat" 8.6
 2629 Predicted: "Dress" 9.3, Actual: "Shirt" 4.1
 2639 Predicted: "Coat" 9.9, Actual: "Dress" 8.8
 2641 Predicted: "Dress" 9.4, Actual: "T-shirt/top" 8.9
 2652 Predicted: "Shirt" 6.7, Actual: "T-shirt/top" 6.5
 2653 Predicted: "Shirt" 7.8, Actual: "T-shirt/top" 7.4
 2659 Predicted: "Shirt" 7.6, Actual: "Bag" 2.9
 2661 Predicted: "Pullover" 8.7, Actual: "Shirt" 8.2
 2671 Predicted: "Pullover" 8.4, Actual: "Coat" 7.3
 2685 Predicted: "Shirt" 8.3, Actual: "Dress" 6.0
 2688 Predicted: "T-shirt/top" 9.8, Actual: "Dress" 7.8
 2690 Predicted: "Dress" 6.0, Actual: "Coat" 5.0
 2694 Predicted: "Coat" 11.0, Actual: "Shirt" 9.0
 2695 Predicted: "Shirt" 6.3, Actual: "Dress" 6.1
 2698 Predicted: "Dress" 10.2, Actual: "Coat" 9.4
 2717 Predicted: "Pullover" 5.7, Actual: "T-shirt/top" 4.4
 2721 Predicted: "T-shirt/top" 5.0, Actual: "Dress" 1.8
 2732 Predicted: "Bag" 10.3, Actual: "Shirt" 8.2
 2733 Predicted: "Coat" 10.6, Actual: "Pullover" 10.4
 2734 Predicted: "Pullover" 8.9, Actual: "Coat" 7.8
 2736 Predicted: "Bag" 4.4, Actual: "Dress" 3.5
 2741 Predicted: "Pullover" 6.8, Actual: "Trouser" 5.5
 2746 Predicted: "Pullover" 5.5, Actual: "Shirt" 4.6
 2752 Predicted: "Pullover" 8.2, Actual: "Shirt" 8.1
 2754 Predicted: "Coat" 10.8, Actual: "Shirt" 10.3
 2757 Predicted: "Pullover" 9.0, Actual: "Shirt" 7.4
 2772 Predicted: "Sandal" 8.1, Actual: "Sneaker" 6.5
 2776 Predicted: "Shirt" 7.2, Actual: "Coat" 6.3
 2779 Predicted: "Dress" 8.3, Actual: "Coat" 7.7
 2798 Predicted: "Dress" 4.2, Actual: "Coat" 3.9
 2811 Predicted: "Ankle boot" 11.6, Actual: "Sneaker" 10.9
 2814 Predicted: "Pullover" 8.2, Actual: "Dress" 8.1
 2817 Predicted: "T-shirt/top" 3.6, Actual: "Dress" -0.3
 2838 Predicted: "Dress" 5.6, Actual: "Shirt" 5.1
 2839 Predicted: "T-shirt/top" 10.4, Actual: "Shirt" 9.0
 2840 Predicted: "T-shirt/top" 10.6, Actual: "Shirt" 9.4
 2842 Predicted: "Bag" 6.9, Actual: "Shirt" 5.9
 2843 Predicted: "Pullover" 9.8, Actual: "Shirt" 9.2
 2856 Predicted: "T-shirt/top" 13.9, Actual: "Shirt" 10.2
 2865 Predicted: "Coat" 7.4, Actual: "Shirt" 7.3
 2869 Predicted: "Bag" 8.2, Actual: "Shirt" 5.9
 2870 Predicted: "Pullover" 10.0, Actual: "Shirt" 8.8
 2872 Predicted: "Shirt" 4.0, Actual: "T-shirt/top" 4.0
 2882 Predicted: "Pullover" 9.6, Actual: "Shirt" 6.3
 2883 Predicted: "Sandal" 6.0, Actual: "Sneaker" 5.5
 2884 Predicted: "Sandal" 6.4, Actual: "Coat" 5.5
 2894 Predicted: "Coat" 10.1, Actual: "Pullover" 8.5
 2897 Predicted: "Bag" 4.6, Actual: "T-shirt/top" 2.5
 2898 Predicted: "Coat" 9.3, Actual: "Dress" 7.8
 2904 Predicted: "Shirt" 8.8, Actual: "Pullover" 6.8
 2905 Predicted: "Coat" 7.6, Actual: "Bag" -0.3
 2909 Predicted: "Shirt" 8.3, Actual: "T-shirt/top" 6.4
 2910 Predicted: "Bag" 9.3, Actual: "Shirt" 7.4
 2914 Predicted: "Ankle boot" 12.1, Actual: "Sneaker" 10.7
 2919 Predicted: "Shirt" 7.3, Actual: "Coat" 4.2
 2920 Predicted: "Coat" 9.5, Actual: "Pullover" 6.4
 2926 Predicted: "Coat" 12.3, Actual: "Pullover" 11.2
 2935 Predicted: "Sneaker" 8.6, Actual: "Ankle boot" 7.1
 2939 Predicted: "Shirt" 6.6, Actual: "Coat" 6.3
 2942 Predicted: "Pullover" 8.1, Actual: "Shirt" 7.2
 2948 Predicted: "Sandal" 8.5, Actual: "Sneaker" 8.2
 2949 Predicted: "Pullover" 8.0, Actual: "Shirt" 8.0
 2951 Predicted: "Dress" 7.8, Actual: "Trouser" 1.6
 2953 Predicted: "Pullover" 5.4, Actual: "T-shirt/top" 4.6
 2956 Predicted: "Shirt" 6.8, Actual: "Pullover" 6.2
 2960 Predicted: "Shirt" 6.6, Actual: "Pullover" 5.0
 2965 Predicted: "Ankle boot" 6.6, Actual: "Sneaker" 5.6
 2967 Predicted: "Pullover" 9.4, Actual: "Coat" 9.2
 2975 Predicted: "Shirt" 6.3, Actual: "Pullover" 5.7
 2979 Predicted: "Pullover" 3.7, Actual: "Shirt" 3.1
 2985 Predicted: "Pullover" 11.2, Actual: "Shirt" 9.1
 2997 Predicted: "Dress" 5.6, Actual: "T-shirt/top" 4.4
 2998 Predicted: "Coat" 10.3, Actual: "Shirt" 9.1
 3004 Predicted: "Sandal" 6.0, Actual: "Sneaker" 3.8
 3006 Predicted: "Pullover" 7.2, Actual: "Bag" 6.6
 3007 Predicted: "T-shirt/top" 9.2, Actual: "Dress" 7.7
 3008 Predicted: "Dress" 6.7, Actual: "Bag" 0.5
 3019 Predicted: "Shirt" 9.8, Actual: "Dress" 5.9
 3038 Predicted: "Bag" 6.3, Actual: "T-shirt/top" 4.9
 3040 Predicted: "Coat" 9.6, Actual: "Pullover" 7.2
 3045 Predicted: "Dress" 4.3, Actual: "Shirt" 2.6
 3052 Predicted: "Shirt" 4.6, Actual: "Trouser" 4.5
 3067 Predicted: "Sneaker" 9.3, Actual: "Bag" 5.8
 3071 Predicted: "Ankle boot" 10.9, Actual: "Sandal" 10.5
 3074 Predicted: "Shirt" 9.3, Actual: "T-shirt/top" 9.2
 3077 Predicted: "Pullover" 7.3, Actual: "Coat" 6.7
 3080 Predicted: "T-shirt/top" 7.8, Actual: "Shirt" 6.6
 3081 Predicted: "Pullover" 8.9, Actual: "Coat" 8.4
 3082 Predicted: "Shirt" 3.7, Actual: "Pullover" 2.4
 3083 Predicted: "Pullover" 9.3, Actual: "Coat" 9.2
 3084 Predicted: "Dress" 9.5, Actual: "Coat" 6.2
 3087 Predicted: "Sneaker" 10.0, Actual: "Ankle boot" 9.5
 3103 Predicted: "Dress" 4.9, Actual: "Coat" 3.6
 3106 Predicted: "Coat" 11.5, Actual: "Dress" 10.1
 3109 Predicted: "Sandal" 4.0, Actual: "Bag" 4.0
 3116 Predicted: "Pullover" 6.8, Actual: "Shirt" 5.5
 3123 Predicted: "Sandal" 7.5, Actual: "Sneaker" 6.4
 3132 Predicted: "Coat" 10.3, Actual: "T-shirt/top" 5.9
 3165 Predicted: "Pullover" 10.2, Actual: "Shirt" 9.4
 3174 Predicted: "Pullover" 8.3, Actual: "Shirt" 7.5
 3176 Predicted: "Shirt" 9.5, Actual: "Coat" 8.3
 3187 Predicted: "Bag" 7.2, Actual: "Pullover" 7.2
 3188 Predicted: "Pullover" 6.7, Actual: "Shirt" 2.3
 3190 Predicted: "Coat" 9.6, Actual: "Pullover" 9.4
 3198 Predicted: "Pullover" 6.5, Actual: "Shirt" 3.0
 3201 Predicted: "Dress" 6.4, Actual: "T-shirt/top" 5.5
 3203 Predicted: "Pullover" 5.7, Actual: "Shirt" 5.2
 3205 Predicted: "Dress" 8.9, Actual: "T-shirt/top" 7.1
 3209 Predicted: "T-shirt/top" 5.9, Actual: "Dress" 3.9
 3215 Predicted: "Sneaker" 6.9, Actual: "Sandal" 6.7
 3228 Predicted: "Sneaker" 10.5, Actual: "Ankle boot" 10.3
 3229 Predicted: "Dress" 4.3, Actual: "Coat" 2.6
 3230 Predicted: "T-shirt/top" 8.7, Actual: "Shirt" 7.9
 3232 Predicted: "T-shirt/top" 14.8, Actual: "Shirt" 11.0
 3234 Predicted: "Sandal" 5.5, Actual: "Sneaker" 4.0
 3236 Predicted: "Bag" 13.1, Actual: "T-shirt/top" 7.1
 3237 Predicted: "Coat" 8.9, Actual: "Pullover" 7.8
 3239 Predicted: "T-shirt/top" 5.9, Actual: "Shirt" 5.3
 3240 Predicted: "Shirt" 8.5, Actual: "Pullover" 6.3
 3244 Predicted: "Shirt" 9.3, Actual: "T-shirt/top" 8.3
 3253 Predicted: "Sneaker" 6.2, Actual: "Sandal" 5.9
 3255 Predicted: "Dress" 8.4, Actual: "Pullover" 5.1
 3258 Predicted: "Dress" 8.7, Actual: "Pullover" 7.6
 3262 Predicted: "Coat" 14.6, Actual: "Shirt" 8.3
 3265 Predicted: "Pullover" 3.7, Actual: "Dress" 2.8
 3269 Predicted: "Pullover" 4.6, Actual: "Coat" 3.9
 3274 Predicted: "Ankle boot" 12.7, Actual: "Sneaker" 11.8
 3282 Predicted: "Shirt" 7.7, Actual: "Bag" 3.8
 3284 Predicted: "Shirt" 9.0, Actual: "Pullover" 7.6
 3297 Predicted: "Coat" 10.7, Actual: "Pullover" 7.9
 3301 Predicted: "Shirt" 8.8, Actual: "Pullover" 7.2
 3311 Predicted: "Bag" 4.8, Actual: "T-shirt/top" 4.8
 3313 Predicted: "Shirt" 9.9, Actual: "Dress" 3.7
 3323 Predicted: "Pullover" 6.2, Actual: "Shirt" 4.7
 3327 Predicted: "Dress" 9.0, Actual: "Shirt" 5.9
 3332 Predicted: "Shirt" 6.5, Actual: "T-shirt/top" 5.9
 3334 Predicted: "Dress" 7.3, Actual: "Shirt" 7.1
 3336 Predicted: "Coat" 10.5, Actual: "Shirt" 10.1
 3338 Predicted: "Coat" 10.8, Actual: "Shirt" 6.6
 3342 Predicted: "Shirt" 4.2, Actual: "T-shirt/top" 3.6
 3351 Predicted: "Ankle boot" 10.5, Actual: "Sneaker" 9.8
 3360 Predicted: "Dress" 5.8, Actual: "Trouser" 3.4
 3370 Predicted: "Coat" 6.8, Actual: "Pullover" 6.0
 3390 Predicted: "Coat" 6.4, Actual: "Pullover" 6.3
 3415 Predicted: "Coat" 9.6, Actual: "Shirt" 9.3
 3416 Predicted: "T-shirt/top" 10.0, Actual: "Shirt" 9.3
 3421 Predicted: "Ankle boot" 10.4, Actual: "Sandal" 7.9
 3429 Predicted: "T-shirt/top" 3.0, Actual: "Shirt" 1.8
 3439 Predicted: "Ankle boot" 9.5, Actual: "Sneaker" 8.9
 3441 Predicted: "Sandal" 3.4, Actual: "T-shirt/top" 3.2
 3442 Predicted: "Ankle boot" 8.3, Actual: "Sneaker" 8.1
 3451 Predicted: "Shirt" 4.0, Actual: "T-shirt/top" 1.1
 3457 Predicted: "Coat" 6.5, Actual: "Pullover" 4.8
 3466 Predicted: "Sandal" 4.2, Actual: "T-shirt/top" 0.8
 3468 Predicted: "Sneaker" 10.5, Actual: "Bag" 4.1
 3479 Predicted: "Pullover" 10.4, Actual: "Coat" 7.9
 3481 Predicted: "T-shirt/top" 7.6, Actual: "Shirt" 4.9
 3484 Predicted: "Pullover" 5.7, Actual: "T-shirt/top" 4.5
 3487 Predicted: "Ankle boot" 13.0, Actual: "Sandal" 11.7
 3489 Predicted: "Dress" 7.0, Actual: "Pullover" 4.0
 3496 Predicted: "Coat" 7.9, Actual: "Pullover" 6.6
 3497 Predicted: "Dress" 8.3, Actual: "Shirt" 7.6
 3507 Predicted: "Ankle boot" 10.2, Actual: "Sneaker" 9.3
 3509 Predicted: "Pullover" 11.0, Actual: "Coat" 9.4
 3522 Predicted: "Dress" 9.2, Actual: "T-shirt/top" 8.5
 3526 Predicted: "Shirt" 8.6, Actual: "Pullover" 8.4
 3531 Predicted: "Dress" 11.0, Actual: "T-shirt/top" 2.4
 3532 Predicted: "Coat" 10.0, Actual: "Pullover" 7.4
 3533 Predicted: "T-shirt/top" 3.7, Actual: "Dress" 3.6
 3534 Predicted: "Coat" 9.5, Actual: "Pullover" 8.4
 3535 Predicted: "Bag" 5.7, Actual: "Pullover" 4.8
 3540 Predicted: "Shirt" 9.7, Actual: "T-shirt/top" 8.3
 3545 Predicted: "Pullover" 7.5, Actual: "Shirt" 5.0
 3549 Predicted: "Dress" 7.4, Actual: "T-shirt/top" 6.8
 3553 Predicted: "T-shirt/top" 6.5, Actual: "Pullover" 4.5
 3554 Predicted: "Shirt" 7.6, Actual: "Pullover" 5.9
 3556 Predicted: "Shirt" 7.5, Actual: "Pullover" 7.2
 3568 Predicted: "Pullover" 7.0, Actual: "Coat" 2.3
 3588 Predicted: "Pullover" 11.4, Actual: "Shirt" 9.6
 3598 Predicted: "Coat" 10.6, Actual: "Pullover" 9.8
 3609 Predicted: "Coat" 4.4, Actual: "T-shirt/top" 2.3
 3613 Predicted: "Coat" 5.7, Actual: "Shirt" 5.1
 3625 Predicted: "T-shirt/top" 12.8, Actual: "Shirt" 9.4
 3626 Predicted: "Dress" 8.7, Actual: "Coat" 7.2
 3639 Predicted: "Dress" 7.2, Actual: "Coat" 6.6
 3649 Predicted: "Shirt" 9.8, Actual: "Coat" 9.7
 3658 Predicted: "Coat" 9.7, Actual: "Shirt" 9.3
 3663 Predicted: "Bag" 7.8, Actual: "Shirt" 5.9
 3664 Predicted: "Ankle boot" 9.3, Actual: "Sneaker" 9.0
 3669 Predicted: "Coat" 8.4, Actual: "Shirt" 5.3
 3673 Predicted: "T-shirt/top" 6.6, Actual: "Pullover" 5.1
 3690 Predicted: "Sneaker" 6.2, Actual: "Sandal" 3.8
 3700 Predicted: "T-shirt/top" 9.5, Actual: "Shirt" 8.4
 3704 Predicted: "Pullover" 9.6, Actual: "Coat" 9.2
 3706 Predicted: "Shirt" 9.2, Actual: "Dress" 7.3
 3714 Predicted: "Shirt" 6.9, Actual: "Pullover" 6.0
 3720 Predicted: "Coat" 8.5, Actual: "Dress" 7.7
 3730 Predicted: "Dress" 5.2, Actual: "Coat" 3.6
 3731 Predicted: "Pullover" 7.5, Actual: "Coat" 6.3
 3733 Predicted: "Sandal" 6.3, Actual: "Sneaker" 5.7
 3739 Predicted: "Trouser" 7.0, Actual: "Dress" 6.1
 3741 Predicted: "Bag" 8.5, Actual: "Shirt" 7.1
 3747 Predicted: "Shirt" 3.6, Actual: "T-shirt/top" 3.1
 3765 Predicted: "Pullover" 8.9, Actual: "Bag" 7.8
 3773 Predicted: "T-shirt/top" 3.9, Actual: "Pullover" 3.7
 3780 Predicted: "Shirt" 9.8, Actual: "Pullover" 9.7
 3787 Predicted: "Pullover" 4.7, Actual: "Shirt" 3.3
 3799 Predicted: "Coat" 10.8, Actual: "Shirt" 9.9
 3800 Predicted: "Pullover" 6.4, Actual: "Shirt" 4.6
 3804 Predicted: "Shirt" 5.8, Actual: "Coat" 4.1
 3805 Predicted: "T-shirt/top" 8.8, Actual: "Dress" 6.3
 3808 Predicted: "T-shirt/top" 8.3, Actual: "Shirt" 7.8
 3811 Predicted: "Dress" 10.3, Actual: "Coat" 8.2
 3816 Predicted: "Coat" 12.5, Actual: "Pullover" 10.7
 3826 Predicted: "Pullover" 6.1, Actual: "Trouser" 5.5
 3829 Predicted: "Trouser" 9.3, Actual: "Shirt" 0.7
 3830 Predicted: "T-shirt/top" 9.2, Actual: "Shirt" 5.2
 3861 Predicted: "Coat" 11.6, Actual: "Shirt" 8.6
 3864 Predicted: "Pullover" 8.1, Actual: "Shirt" 6.3
 3866 Predicted: "Ankle boot" 10.3, Actual: "Sandal" 7.2
 3871 Predicted: "Coat" 11.6, Actual: "Pullover" 9.2
 3876 Predicted: "Pullover" 8.8, Actual: "Shirt" 7.3
 3880 Predicted: "Dress" 6.0, Actual: "Pullover" 1.3
 3895 Predicted: "Dress" 9.0, Actual: "T-shirt/top" 7.9
 3896 Predicted: "Sneaker" 8.2, Actual: "Ankle boot" 8.0
 3926 Predicted: "Coat" 9.8, Actual: "Shirt" 8.4
 3929 Predicted: "Pullover" 7.3, Actual: "Trouser" 6.1
 3932 Predicted: "Coat" 11.0, Actual: "Pullover" 10.5
 3937 Predicted: "Coat" 11.7, Actual: "Pullover" 10.5
 3938 Predicted: "Shirt" 10.6, Actual: "T-shirt/top" 9.1
 3939 Predicted: "Shirt" 8.4, Actual: "Pullover" 7.9
 3940 Predicted: "Shirt" 8.4, Actual: "Dress" 7.8
 3941 Predicted: "Coat" 3.7, Actual: "Pullover" 3.1
 3953 Predicted: "Pullover" 7.7, Actual: "T-shirt/top" 3.8
 3957 Predicted: "Ankle boot" 10.9, Actual: "Sandal" 7.7
 3961 Predicted: "Pullover" 10.5, Actual: "Coat" 10.3
 3970 Predicted: "Shirt" 7.1, Actual: "Pullover" 6.4
 3974 Predicted: "Dress" 6.3, Actual: "Trouser" 5.5
 3984 Predicted: "Bag" 9.0, Actual: "Coat" 6.9
 3987 Predicted: "Coat" 6.6, Actual: "Shirt" 5.2
 3988 Predicted: "Pullover" 7.3, Actual: "Bag" 5.3
 4010 Predicted: "Sandal" 6.5, Actual: "Sneaker" 6.1
 4019 Predicted: "T-shirt/top" 6.5, Actual: "Shirt" 4.1
 4021 Predicted: "Coat" 11.5, Actual: "Pullover" 10.4
 4037 Predicted: "Coat" 13.0, Actual: "Pullover" 10.2
 4040 Predicted: "Sneaker" 9.7, Actual: "Sandal" 6.5
 4041 Predicted: "Dress" 9.6, Actual: "Pullover" 6.3
 4048 Predicted: "Bag" 8.4, Actual: "Sandal" 7.5
 4056 Predicted: "Coat" 10.1, Actual: "Dress" 8.8
 4058 Predicted: "Sandal" 9.8, Actual: "Sneaker" 6.5
 4067 Predicted: "Shirt" 9.5, Actual: "T-shirt/top" 9.3
 4071 Predicted: "Pullover" 8.9, Actual: "Bag" 4.8
 4079 Predicted: "Coat" 13.3, Actual: "Shirt" 11.1
 4082 Predicted: "T-shirt/top" 9.0, Actual: "Shirt" 8.7
 4084 Predicted: "Shirt" 9.8, Actual: "Dress" 5.2
 4088 Predicted: "Pullover" 9.9, Actual: "Shirt" 9.2
 4100 Predicted: "Coat" 9.4, Actual: "Pullover" 8.7
 4101 Predicted: "Ankle boot" 8.9, Actual: "Sneaker" 8.8
 4102 Predicted: "Shirt" 9.7, Actual: "T-shirt/top" 9.6
 4104 Predicted: "Shirt" 8.8, Actual: "Pullover" 8.6
 4106 Predicted: "Coat" 10.1, Actual: "Shirt" 9.5
 4111 Predicted: "Dress" 10.3, Actual: "T-shirt/top" 10.3
 4124 Predicted: "Coat" 5.6, Actual: "Pullover" 3.9
 4127 Predicted: "T-shirt/top" 6.6, Actual: "Shirt" 5.3
 4132 Predicted: "Sandal" 11.0, Actual: "Ankle boot" 9.6
 4138 Predicted: "Shirt" 8.3, Actual: "Pullover" 6.1
 4140 Predicted: "T-shirt/top" 11.4, Actual: "Shirt" 10.3
 4142 Predicted: "T-shirt/top" 5.5, Actual: "Shirt" 4.1
 4143 Predicted: "Pullover" 9.2, Actual: "T-shirt/top" 5.3
 4145 Predicted: "Dress" 7.3, Actual: "T-shirt/top" 7.2
 4148 Predicted: "Bag" 7.0, Actual: "Dress" 2.0
 4152 Predicted: "Coat" 6.7, Actual: "Shirt" 6.4
 4153 Predicted: "Pullover" 6.7, Actual: "Shirt" 4.7
 4159 Predicted: "T-shirt/top" 10.6, Actual: "Pullover" 7.5
 4160 Predicted: "Coat" 11.8, Actual: "Pullover" 10.7
 4169 Predicted: "T-shirt/top" 10.9, Actual: "Shirt" 10.9
 4182 Predicted: "Sneaker" 8.0, Actual: "Sandal" 6.3
 4184 Predicted: "Ankle boot" 9.5, Actual: "Sneaker" 8.7
 4192 Predicted: "T-shirt/top" 10.5, Actual: "Shirt" 9.5
 4194 Predicted: "T-shirt/top" 7.5, Actual: "Shirt" 5.2
 4213 Predicted: "Shirt" 10.9, Actual: "T-shirt/top" 10.4
 4217 Predicted: "Shirt" 8.2, Actual: "Pullover" 7.8
 4218 Predicted: "Shirt" 4.7, Actual: "Bag" 3.8
 4224 Predicted: "Shirt" 8.2, Actual: "T-shirt/top" 7.7
 4231 Predicted: "T-shirt/top" 13.8, Actual: "Shirt" 11.7
 4233 Predicted: "Pullover" 8.7, Actual: "Coat" 5.7
 4251 Predicted: "Shirt" 7.5, Actual: "Coat" 1.9
 4262 Predicted: "Dress" 8.5, Actual: "T-shirt/top" 7.0
 4267 Predicted: "Pullover" 7.0, Actual: "Shirt" 5.7
 4271 Predicted: "T-shirt/top" 9.4, Actual: "Shirt" 9.3
 4272 Predicted: "Shirt" 9.8, Actual: "Coat" 9.4
 4274 Predicted: "Shirt" 10.1, Actual: "Bag" 9.1
 4275 Predicted: "Dress" 8.9, Actual: "T-shirt/top" 8.5
 4280 Predicted: "T-shirt/top" 12.4, Actual: "Shirt" 8.9
 4286 Predicted: "Coat" 4.2, Actual: "Pullover" 3.8
 4299 Predicted: "Trouser" 6.6, Actual: "Shirt" 4.7
 4300 Predicted: "Coat" 8.6, Actual: "Pullover" 8.0
 4307 Predicted: "Dress" 8.4, Actual: "Coat" 7.6
 4329 Predicted: "Pullover" 6.1, Actual: "Shirt" 3.9
 4362 Predicted: "Bag" 6.0, Actual: "Sandal" 5.6
 4363 Predicted: "Coat" 6.9, Actual: "Pullover" 5.4
 4365 Predicted: "Bag" 8.2, Actual: "Shirt" 7.7
 4391 Predicted: "Sandal" 8.2, Actual: "Ankle boot" 7.9
 4394 Predicted: "Bag" 7.7, Actual: "Dress" 6.7
 4399 Predicted: "Coat" 8.3, Actual: "Shirt" 7.3
 4404 Predicted: "Sneaker" 11.7, Actual: "Ankle boot" 10.3
 4405 Predicted: "Sneaker" 9.5, Actual: "Sandal" 6.2
 4416 Predicted: "Pullover" 6.8, Actual: "Shirt" 5.2
 4417 Predicted: "Shirt" 8.2, Actual: "Coat" 7.7
 4420 Predicted: "Pullover" 3.4, Actual: "Shirt" 3.4
 4451 Predicted: "T-shirt/top" 7.3, Actual: "Shirt" 4.8
 4484 Predicted: "Dress" 6.9, Actual: "Coat" 6.3
 4486 Predicted: "T-shirt/top" 5.4, Actual: "Dress" 5.3
 4495 Predicted: "Bag" 5.7, Actual: "Pullover" 4.2
 4501 Predicted: "Shirt" 9.3, Actual: "Coat" 9.1
 4507 Predicted: "Sneaker" 7.3, Actual: "Ankle boot" 7.2
 4508 Predicted: "Shirt" 9.1, Actual: "T-shirt/top" 9.0
 4509 Predicted: "Dress" 6.4, Actual: "Shirt" 6.3
 4526 Predicted: "Shirt" 6.5, Actual: "Coat" 4.4
 4542 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 7.9
 4549 Predicted: "Sneaker" 9.2, Actual: "Ankle boot" 9.1
 4566 Predicted: "Dress" 10.0, Actual: "Coat" 9.4
 4569 Predicted: "Dress" 5.7, Actual: "Shirt" 5.5
 4585 Predicted: "Coat" 7.8, Actual: "Shirt" 7.7
 4595 Predicted: "Bag" 8.6, Actual: "Shirt" 7.2
 4599 Predicted: "Ankle boot" 14.7, Actual: "Sandal" 11.2
 4608 Predicted: "Shirt" 6.5, Actual: "Coat" 5.4
 4615 Predicted: "Sandal" 7.7, Actual: "Ankle boot" 6.0
 4629 Predicted: "Coat" 10.5, Actual: "Pullover" 9.2
 4639 Predicted: "Shirt" 4.3, Actual: "Coat" 3.9
 4641 Predicted: "Pullover" 9.6, Actual: "Coat" 9.5
 4642 Predicted: "Bag" 5.6, Actual: "Shirt" 3.6
 4645 Predicted: "Coat" 6.1, Actual: "Shirt" 5.7
 4646 Predicted: "Pullover" 9.8, Actual: "Coat" 8.7
 4649 Predicted: "Coat" 12.3, Actual: "Pullover" 10.2
 4652 Predicted: "Pullover" 8.9, Actual: "Coat" 8.1
 4658 Predicted: "Dress" 7.6, Actual: "T-shirt/top" 4.2
 4664 Predicted: "Shirt" 6.8, Actual: "Dress" 6.4
 4665 Predicted: "Pullover" 4.4, Actual: "T-shirt/top" 4.1
 4668 Predicted: "Pullover" 10.5, Actual: "Coat" 8.9
 4672 Predicted: "Dress" 5.1, Actual: "Shirt" 3.0
 4674 Predicted: "Shirt" 9.5, Actual: "Pullover" 8.0
 4677 Predicted: "Coat" 4.8, Actual: "Shirt" 4.7
 4681 Predicted: "Ankle boot" 10.9, Actual: "Sneaker" 10.8
 4685 Predicted: "Coat" 9.9, Actual: "Pullover" 6.4
 4687 Predicted: "Coat" 10.0, Actual: "Pullover" 8.0
 4692 Predicted: "T-shirt/top" 8.2, Actual: "Shirt" 5.7
 4693 Predicted: "Ankle boot" 8.9, Actual: "Sneaker" 5.7
 4694 Predicted: "Coat" 9.4, Actual: "Pullover" 7.9
